268	pasela			3125B9
269	pasela			3142A18
270	pasela			3144A20
271	pasela			3142B13
282	pasela			3133A12
283	pasela			3152A37
284	pasela			2375B34
285	pasela			2955B8
286	pasela			2269A26
287	pasela			2269A24
288	pasela			2486B28
289	pasela			2494A22
290	pasela			1548B48
291	pasela			1548B45
292	pasela			2719A17
294	pasela			2777A6
296	pasela			2997B15
298	pasela			2107A15
299	pasela			1552B17
300	pasela			1996B25
301	pasela			2274A28
301	pasela			1924A49
302	pasela			2168B25
303	pasela			2494A22
305	pasela			2933B41
305	pasela			2964B23
