1	DAM	premier	TRUE	1110-23
2	DAM	premier	TRUE	1110-24
5	DAM	LIVE	FALSE	3663-39
6	DAM	cyber	FALSE	1849-80
9	DAM	cyber	FALSE	1938-03
11	DAM	cyber	FALSE	1938-04
12	DAM	premier	TRUE	1200-57
13	DAM	cyber	FALSE	2880-40
14	DAM	cyber	FALSE	2880-20
16	DAM	cyber	FALSE	2880-35
18	DAM	cyber	FALSE	2880-29
19	DAM	premier	FALSE	3252-77
20	DAM	cyber	FALSE	4122-07
25	DAM	premier	TRUE	1938-18
26	DAM	premier	TRUE	1938-19
27	DAM	premier	TRUE	1959-83
29	DAM	cyber	FALSE	4122-04
30	DAM	cyber	FALSE	4122-05
31	DAM	cyber	FALSE	2354-83
32	DAM	cyber	FALSE	2354-82
33	DAM	cyber	FALSE	2354-68
34	DAM	cyber	FALSE	2354-67
35	DAM	cyber	FALSE	2868-32
37	DAM	cyber	FALSE	2355-35
41	DAM	cyber	FALSE	2355-30
46	DAM	cyber	FALSE	1350-15
48	DAM	cyber	FALSE	1350-10
49	DAM	premier	FALSE	3252-78
52	DAM	cyber	FALSE	4241-05
53	DAM	cyber	FALSE	6923-24
59	DAM	premier	TRUE	1350-40
60	DAM	premier	TRUE	1350-50
61	DAM	cyber	FALSE	2871-50
62	DAM	cyber	FALSE	2928-45
68	DAM	cyber	FALSE	2928-40
76	DAM	cyber	FALSE	2928-43
82	DAM	LIVE	TRUE	2889-71
83	DAM	cyber	FALSE	2889-75
84	DAM	cyber	FALSE	2977-83
86	DAM	cyber	FALSE	2911-34
87	DAM	cyber	FALSE	1916-60
88	DAM	cyber	FALSE	2977-51
89	DAM	cyber	FALSE	2977-39
92	DAM	LIVE	FALSE	3486-81
95	DAM	premier	FALSE	3254-57
97	DAM	premier	FALSE	3254-10
100	DAM	premier	FALSE	3254-60
110	DAM	LIVE	TRUE	1746-93
111	DAM	cyber	FALSE	1916-26
112	DAM	cyber	FALSE	3258-71
113	DAM	premier	FALSE	3311-94
114	DAM	cyber	FALSE	3255-43
115	DAM	cyber	FALSE	3267-40
119	DAM	LIVE	FALSE	3663-38
121	DAM	premier	FALSE	3312-04
122	DAM	premier	FALSE	3312-16
127	DAM	premier	FALSE	3312-13
130	DAM	premier	FALSE	3312-24
131	DAM	cyber	FALSE	3298-59
133	DAM	cyber	FALSE	1291-25
141	DAM	LIVE	TRUE	3298-21
142	DAM	cyber	FALSE	3318-60
143	DAM	cyber	FALSE	3298-25
144	DAM	cyber	FALSE	3318-61
145	DAM	premier	FALSE	3353-50
146	DAM	premier	FALSE	3353-53
147	DAM	premier	FALSE	3353-78
148	DAM	premier	FALSE	3353-72
149	DAM	cyber	FALSE	3338-08
150	DAM	premier	FALSE	3353-86
151	DAM	premier	FALSE	3353-88
152	DAM	premier	FALSE	3353-29
153	DAM	premier	FALSE	3353-64
154	DAM	cyber	FALSE	3372-10
155	DAM	cyber	FALSE	3372-23
156	DAM	cyber	FALSE	3372-25
157	DAM	cyber	FALSE	3372-16
158	DAM	cyber	FALSE	6768-47
160	DAM	cyber	FALSE	3372-40
161	DAM	cyber	FALSE	3372-33
162	DAM	cyber	FALSE	3353-94
163	DAM	cyber	FALSE	3372-04
164	DAM	cyber	FALSE	3341-94
165	DAM	cyber	FALSE	3344-04
166	DAM	LIVE	TRUE	3371-21
