1	ふたりはプリキュア	無	2004
2	ふたりはプリキュア MaxHeart	MH	2005
3	ふたりはプリキュア Splash☆Star	SS	2006
4	Yes!プリキュア5	5	2007
5	Yes!プリキュア5GoGo!	GoGo	2008
6	フレッシュプリキュア!	F	2009
7	ハートキャッチプリキュア!	HC	2010
8	スイートプリキュア♪	SU	2011
9	スマイルプリキュア!	SM	2012
10	ドキドキ!プリキュア	DK	2013
99	プリキュアオールスターズ	AS	0
