1	tetsujin	premier	TRUE	446993
1	tetsujin			96272
2	tetsujin	premier	TRUE	446992
2	tetsujin			96271
3	tetsujin			304019
4	tetsujin			153329
5	tetsujin			283816
6	tetsujin			148737
8	tetsujin			161112
9	tetsujin			148688
10	tetsujin			298500
11	tetsujin			148691
12	tetsujin	premier	TRUE	446994
12	tetsujin			154839
13	tetsujin			169357
14	tetsujin			169367
15	tetsujin			443635
16	tetsujin			168315
18	tetsujin			169382
19	tetsujin			154838
20	tetsujin			168358
21	tetsujin			160941
24	tetsujin			288747
25	tetsujin	premier	TRUE	446995
25	tetsujin			146613
26	tetsujin	premier	TRUE	446996
26	tetsujin			148445
27	tetsujin	premier	TRUE	446997
27	tetsujin			161589
28	tetsujin			167951
29	tetsujin			163118
30	tetsujin			163119
31	tetsujin			163124
32	tetsujin			163117
33	tetsujin			163122
34	tetsujin			163121
35	tetsujin			164887
36	tetsujin			288752
37	tetsujin			166392
38	tetsujin			308433
41	tetsujin			166382
46	tetsujin			167344
48	tetsujin			167349
49	tetsujin			268146
50	tetsujin			406018
51	tetsujin			288753
52	tetsujin			150680
53	tetsujin			162158
54	tetsujin			164355
55	tetsujin			169930
56	tetsujin			308438
59	tetsujin	premier	TRUE	446998
59	tetsujin			167771
60	tetsujin	premier	TRUE	446999
60	tetsujin			168215
61	tetsujin			179094
62	tetsujin			190176
63	tetsujin			308439
64	tetsujin			191531
65	tetsujin			191457
66	tetsujin			308442
67	tetsujin			191218
68	tetsujin			191541
68	tetsujin			297345
69	tetsujin			310719
70	tetsujin			310720
71	tetsujin			190177
72	tetsujin			190174
73	tetsujin			190173
74	tetsujin			190178
75	tetsujin			190179
76	tetsujin			190175
77	tetsujin			190180
79	tetsujin			310722
82	tetsujin	LIVE	TRUE	457132
82	tetsujin			194420
82	tetsujin			452905
82	tetsujin			297375
83	tetsujin			192638
83	tetsujin			297030
84	tetsujin			216650
86	tetsujin			207656
87	tetsujin			230523
88	tetsujin			218140
89	tetsujin			218142
90	tetsujin			310726
92	tetsujin			310725
93	tetsujin			310727
94	tetsujin			310728
95	tetsujin			268187
97	tetsujin			268167
98	tetsujin			320000
100	tetsujin			268183
104	tetsujin			310724
105	tetsujin			310730
109	tetsujin			310732
